"SALK_Line","treattype","fitness","fitdev","fitnogerm","fitdevng"
"CS60000","control",105.3,2.84355872182118e-15,105.3,2.84355872182118e-15
"ECOTYPE - 1376","control",66,-39.3,66,-39.3
"ECOTYPE - 1554","control",0,-105.3,NA,NA
"ECOTYPE - 22587","control",0,-105.3,0,-105.3
"ECOTYPE - 22594","control",192,86.7,192,86.7
"ECOTYPE - 22623","control",0,-105.3,0,-105.3
"ECOTYPE - 22631","control",148,42.7,148,42.7
"ECOTYPE - 22645","control",26,-79.3,26,-79.3
"ECOTYPE - 6885","control",155,49.7,155,49.7
"SALK_017933C","control",50.7,-54.6,56.3333333333333,-48.9666666666667
"SALK_033462C","control",61.6,-43.7,61.6,-43.7
"SALK_038957C","control",41.6,-63.7,69.3333333333333,-35.9666666666667
"SALK_042704C","control",88.2,-17.1,98,-7.3
"SALK_050488C","control",54.3,-51,67.875,-37.425
"SALK_054680C","control",105.9,0.600000000000001,117.666666666667,12.3666666666667
"SALK_059835C","control",82.4,-22.9,103,-2.3
"SALK_063722C","control",109.1,3.8,136.375,31.075
"SALK_094332C","control",70.6,-34.7,88.25,-17.05
"SALK_126600C","control",69.8,-35.5,69.8,-35.5
"SALK_134535C","control",12.5,-92.8,15.625,-89.675
"SALK_150522C","control",54.7,-50.6,60.7777777777778,-44.5222222222222
"CS60000","FIRST.EXP",39.3954545454545,-1.96686101748934e-15,NA,NA
"SALK_000234C","FIRST.EXP",41.183775,1.78832045454545,NA,NA
"SALK_001014C","FIRST.EXP",54.1818181818182,14.7863636363636,NA,NA
"SALK_002098C","FIRST.EXP",14,-25.3954545454545,NA,NA
"SALK_004048C","FIRST.EXP",64.1666666666667,24.7712121212121,NA,NA
"SALK_004073C","FIRST.EXP",62.8703416666667,23.4748871212121,NA,NA
"SALK_005336C","FIRST.EXP",7.95375,-31.4417045454545,NA,NA
"SALK_006054C","FIRST.EXP",21.5449333333333,-17.8505212121212,NA,NA
"SALK_006954C","FIRST.EXP",43.6666666666667,4.27121212121212,NA,NA
"SALK_008202C","FIRST.EXP",51.7142857142857,12.3188311688312,NA,NA
"SALK_008897C","FIRST.EXP",0,-39.3954545454545,NA,NA
"SALK_008924C","FIRST.EXP",91.1818181818182,51.7863636363636,NA,NA
"SALK_008986C","FIRST.EXP",66.3333333333333,26.9378787878788,NA,NA
"SALK_009120C","FIRST.EXP",14.00035,-25.3951045454546,NA,NA
"SALK_011077C","FIRST.EXP",23.55675,-15.8387045454545,NA,NA
"SALK_011213C","FIRST.EXP",46.1620777777778,6.76662323232323,NA,NA
"SALK_011841C","FIRST.EXP",41.7912545454545,2.3958,NA,NA
"SALK_013968C","FIRST.EXP",1.88266666666667,-37.5127878787879,NA,NA
"SALK_015609C","FIRST.EXP",48.1928857142857,8.79743116883117,NA,NA
"SALK_016682C","FIRST.EXP",25.0923428571429,-14.3031116883117,NA,NA
"SALK_016764C","FIRST.EXP",24.5393538461538,-14.8561006993007,NA,NA
